origin,destination,euclidean,nb_paths,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths
55936540,-940482583#1,0.5786826866779189,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
240181965#2,329347640,2.742821636907215,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25802990#0,196664112#0,1.814687375660052,1861,8.0,32.0,73.0,158.0,272.0,441.0,686.0,986.0,1226.0,1376.0
340526137,-154819909,0.90980640070006,4,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
-140582502#1,-29026237#2,2.0788742722173663,4069,33.0,181.0,513.0,1018.0,1647.0,2328.0,2908.0,3361.0,3671.0,3847.0
280474398,427786302,2.346285192310972,3520,29.0,139.0,361.0,679.0,968.0,1196.0,1385.0,1568.0,1799.0,2099.0
698849922,-29026703#2,1.74523100702331,99,3.0,19.0,25.0,37.0,61.0,85.0,99.0,99.0,99.0,99.0
-232256747#1,-210627752,4.258961472961927,8599,177.0,860.0,2163.0,3806.0,5293.0,6560.0,7463.0,8047.0,8356.0,8491.0
50323113,-62993887#0,12.621996420581423,9989,1.0,21.0,271.0,868.0,1773.0,2723.0,3623.0,4412.0,5147.0,5851.0
189145628#2,982171265#0,1.4758565186082366,110,4.0,23.0,64.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
24959676,44157799#0,1.7494144556540747,4690,15.0,138.0,363.0,531.0,804.0,1174.0,1665.0,2073.0,2479.0,2948.0
656358507#0,44128866,12.605466321555122,10001,18.0,217.0,941.0,2673.0,5032.0,7255.0,8622.0,9402.0,9766.0,9897.0
4968774,248637519,2.2336902860724024,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
142373485#1,-1096344366,2.080473595369547,6667,21.0,151.0,454.0,880.0,1367.0,1865.0,2345.0,2707.0,3011.0,3361.0
264900309,-34761131#0,17.464791121262447,10001,1.0,6.0,87.0,540.0,1599.0,3203.0,4953.0,6422.0,7544.0,8319.0
98362718,264623858#0,4.36766852419772,9446,96.0,653.0,1706.0,2928.0,4142.0,5180.0,6084.0,6972.0,7821.0,8490.0
241070868,-264684345,1.166188679074369,20,2.0,5.0,11.0,14.0,20.0,20.0,20.0,20.0,20.0,20.0
-166475244,-1020687118#2,5.653077286261425,9996,60.0,436.0,1321.0,2605.0,3944.0,5206.0,6251.0,7235.0,7940.0,8490.0
-252472885#0,284577714#1-AddedOnRampEdge,3.801389057348157,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
329347636,23762260#0,7.314651863132109,9354,320.0,1573.0,2783.0,4164.0,5658.0,6628.0,7115.0,7453.0,7817.0,8154.0
81130474,30637144,1.28310048102157,434,6.0,40.0,80.0,129.0,205.0,297.0,347.0,383.0,428.0,433.0
-29088186#1,109077968,8.24871857244602,9005,597.0,3138.0,5456.0,6678.0,7447.0,8060.0,8456.0,8697.0,8851.0,8927.0
205565354#2,4594588#0,3.2644276161676373,9777,67.0,362.0,958.0,2188.0,3882.0,5612.0,7027.0,8023.0,8663.0,9106.0
178170799#0,275913164#0,0.7740718161707785,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
350878472,343973644#21,3.503274794227456,443,1.0,1.0,1.0,29.0,61.0,71.0,72.0,75.0,76.0,97.0
-323217245#3,-236789965,22.389345673147293,10001,1.0,3.0,34.0,182.0,571.0,1598.0,3194.0,5043.0,6696.0,7911.0
-43760376,264623835#0-AddedOnRampEdge,19.399575901769406,10001,1.0,1.0,4.0,42.0,241.0,831.0,1890.0,3251.0,4751.0,6171.0
-30654177#2,-236789965,19.406773370393964,10001,2.0,6.0,76.0,332.0,867.0,1737.0,2830.0,4028.0,5358.0,6657.0
166651390#0,1005203818,10.9157863744228,10001,4.0,9.0,102.0,567.0,1618.0,3246.0,5070.0,6705.0,7993.0,8897.0
30610909,1043587208,13.96479170696294,9743,221.0,521.0,796.0,1166.0,1707.0,2431.0,3305.0,4359.0,5442.0,6557.0
138515901#0,201668559,20.19039624010227,10001,1.0,7.0,126.0,639.0,1605.0,2772.0,4044.0,5310.0,6632.0,7719.0
25303224#0,329347634,4.015043949173497,4198,2.0,2.0,2.0,2.0,2.0,5.0,62.0,113.0,248.0,287.0
4969364,172345924#3,30.11820585407195,10001,1.0,1.0,31.0,324.0,1255.0,2833.0,4651.0,6322.0,7677.0,8614.0
1086753666,4620824,30.847993568151963,10001,1.0,5.0,78.0,422.0,1249.0,2620.0,4421.0,6153.0,7639.0,8692.0
4969364,30654177#0,30.571151496024623,10001,1.0,1.0,46.0,407.0,1479.0,3238.0,5066.0,6714.0,7984.0,8857.0
698849920,44722508#4,0.7733513110986006,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46953715,-1112991990,5.819267894524321,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
166651390#0,41952924-AddedOnRampEdge,1.7159833834800156,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23634532#0,-236789965,12.98893943113606,10001,1.0,3.0,25.0,189.0,723.0,1705.0,3019.0,4452.0,5857.0,7111.0
52026998,51729264#0,3.951100926489133,8701,35.0,159.0,449.0,897.0,1439.0,2026.0,2628.0,3275.0,3880.0,4514.0
250328448,-29088194#1,13.83533137691165,9972,325.0,838.0,1160.0,1284.0,1441.0,1889.0,2864.0,4422.0,5960.0,7388.0
353017350,690314228,1.4674139933882937,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-39893905,166039363#0,1.2307358774539956,1460,9.0,30.0,83.0,144.0,226.0,316.0,404.0,489.0,536.0,660.0
45336711#0,623182790#4,18.985469332606684,10001,1.0,1.0,25.0,300.0,1374.0,3392.0,5828.0,7770.0,9022.0,9651.0
25236612,30150133,7.8074021483961475,10001,11.0,234.0,1025.0,2483.0,4123.0,5489.0,6543.0,7396.0,8128.0,8741.0
957107410,155423499#2,1.6322274413130382,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4969364,34761131#5,3.1223098087320964,447,30.0,55.0,239.0,329.0,429.0,442.0,447.0,447.0,447.0,447.0
4969364,997572377#0,31.88881437614426,10001,1.0,2.0,21.0,304.0,1459.0,3622.0,5885.0,7600.0,8739.0,9380.0
45336713,-23792234#0,2.143880607919138,4628,143.0,412.0,819.0,1304.0,1814.0,2326.0,2707.0,3055.0,3401.0,3827.0
587824505,52005845#1-AddedOnRampEdge,10.341081463412465,9596,2.0,82.0,508.0,1303.0,2201.0,3486.0,4617.0,5465.0,6054.0,6605.0
1086753710,-252472885#2,0.6854283659056362,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
109077968,457204708#0,19.19846315378459,9988,390.0,993.0,1634.0,2179.0,2608.0,3113.0,3729.0,4508.0,5423.0,6399.0
698849917,75538657,2.5911207476799385,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
