origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
197448006,-95464808#5,17.452110196627537,1.0,4.0,40.0,279.0,857.0,1883.0,3297.0,4919.0,6673.0,8287.0,15001
189749281#0,-48204290#2,1.367431868455854,16.0,71.0,229.0,658.0,1333.0,2243.0,3296.0,4126.0,4683.0,5082.0,5786
50639430,43129262,0.9811648603011754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
28686691#1,207814830,1.145170805396314,2.0,4.0,25.0,48.0,84.0,105.0,120.0,120.0,120.0,120.0,120
103980893#0,15462999#0,1.6780637268042156,28.0,80.0,138.0,195.0,275.0,440.0,720.0,1211.0,1728.0,2126.0,4410
26827930#5,33805175,1.572448872645227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
28686741#1,127544045,1.2110882425532454,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
32601842,-197374056#4,29.003552810555256,8.0,21.0,106.0,429.0,1244.0,2583.0,4367.0,6175.0,7926.0,9400.0,15001
-110874353,27620894,0.5396579049663851,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
27620985#1,-302569441,1.4328214307781968,0.0,3.0,8.0,30.0,99.0,200.0,289.0,426.0,556.0,652.0,832
164719711#0,171045857,17.065173248871947,1.0,1.0,31.0,216.0,824.0,1963.0,3592.0,5420.0,7218.0,8897.0,15001
-33116981#1,28007221#2,4.18888261345871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
190598718#1,124048539#3,1.730824451970307,237.0,865.0,1680.0,2432.0,3226.0,3897.0,4361.0,4635.0,4822.0,4936.0,5433
142983224#2,132617723#0,23.731067632383315,1.0,19.0,180.0,619.0,1498.0,2878.0,4506.0,6215.0,7757.0,9198.0,15001
32601842,-27797966#2,11.841137926447791,366.0,1741.0,4345.0,7792.0,10786.0,12687.0,13650.0,14156.0,14453.0,14620.0,14771
28605420#12,469780995#0,1.0999734361149498,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
-217586821,-29267682#0,7.980607170864587,1.0,5.0,65.0,350.0,1074.0,2261.0,3815.0,5533.0,7350.0,9084.0,15001
32601842,-24210584#16,29.789858598477355,16.0,70.0,218.0,541.0,1003.0,1559.0,2178.0,2919.0,3875.0,5113.0,15000
197448006,196279823,14.085146731611564,68.0,303.0,653.0,1253.0,1996.0,2964.0,4222.0,5532.0,6744.0,7869.0,14209
