origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
25164982#2,309769500#0,1.7403720301293668,4.0,11.0,15.0,25.0,36.0,64.0,80.0,99.0,142.0,184.0,1579
843932181#0,638029791,6.44859552315878,75.0,791.0,2246.0,4783.0,7717.0,10246.0,11959.0,13098.0,13907.0,14451.0,15001
180715244#0,8055217#3,14.289016905460842,3.0,236.0,1645.0,4499.0,7636.0,9967.0,11607.0,12640.0,13479.0,14021.0,15001
319752146#2,162228161,2.1705061952928104,22.0,58.0,146.0,291.0,552.0,966.0,1524.0,2107.0,2797.0,3418.0,5684
29189452#0-AddedOffRampEdge,29072306#0,4.355700250925277,538.0,2725.0,5299.0,7365.0,8722.0,9342.0,9531.0,9559.0,9562.0,9562.0,9562
29072305,24854662#4,4.67600687473107,246.0,1242.0,2610.0,5045.0,6982.0,8386.0,9662.0,10665.0,11350.0,11853.0,12334
29072306#0,30092807#4,3.6424694282871433,247.0,1819.0,4585.0,7140.0,8690.0,9601.0,10345.0,10726.0,10954.0,11032.0,11081
42784304#0,25162673#0,1.816517847616267,14.0,116.0,488.0,1284.0,2509.0,3775.0,4767.0,5407.0,5690.0,5832.0,5903
-224928159,-593761442#14,9.5886137060321,19.0,151.0,491.0,1140.0,2150.0,3561.0,5314.0,7116.0,8766.0,10214.0,15001
42246105,30095629,5.1193480173860495,16.0,31.0,74.0,207.0,394.0,671.0,1084.0,1793.0,2463.0,2865.0,4652
411451801#3,8055217#3,1.4447761832446906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-582373787#2,190735673#0,1.904313315607561,14.0,72.0,177.0,266.0,311.0,323.0,325.0,325.0,325.0,325.0,325
28905432#0,420074402#0,1.7693906674057365,2.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6
150905403,27623929#2-AddedOnRampEdge,2.7184424892433205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
27292743#0,-28170096#1,1.3433745810362063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
636086688,-495456527#1,1.5993303793163238,8.0,19.0,26.0,26.0,29.0,45.0,64.0,106.0,159.0,207.0,489
28235866#0,30095629,4.511199085887492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
732252230#1,159915376#7,10.23784730834964,7.0,80.0,509.0,1423.0,2852.0,4359.0,5807.0,7108.0,8283.0,9425.0,15001
28905432#0,27623929#2-AddedOnRampEdge,4.117209704460482,0.0,89.0,385.0,654.0,1824.0,3326.0,4122.0,4296.0,4306.0,4306.0,4306
29189372#0,-25164950#0,1.8836544287366075,3.0,11.0,40.0,70.0,101.0,158.0,200.0,248.0,308.0,406.0,1753
190735673#0,27623929#2-AddedOnRampEdge,3.7872538125849857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
743665535#0,8055217#3,11.079702042693306,39.0,714.0,2526.0,4798.0,6941.0,8762.0,10141.0,11234.0,12102.0,12783.0,15001
630280787,-593761442#14,2.828643346891395,77.0,706.0,2038.0,3687.0,5242.0,6795.0,8306.0,9508.0,10376.0,11059.0,12250
593761442#11,27623929#2,2.191941993125704,2.0,6.0,7.0,21.0,31.0,51.0,87.0,163.0,275.0,433.0,2988
24579918#8,160047362#10,1.264931654700647,3.0,14.0,50.0,117.0,228.0,368.0,498.0,673.0,786.0,879.0,987
24854811#0,29072306#0,5.934082674523993,377.0,736.0,1578.0,3637.0,6214.0,8808.0,10969.0,12418.0,13376.0,13911.0,14398
27292705#1,599226364,13.526612099307942,1.0,24.0,219.0,973.0,2556.0,4638.0,6851.0,8732.0,10289.0,11589.0,15001
8055330#6,190735673#0,1.4712873442256922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-24854660#1,8055217#3,4.339241218482083,64.0,233.0,246.0,432.0,548.0,752.0,969.0,1086.0,1211.0,1285.0,1508
-602994938#3,638029867,1.6595795629266274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
29189452#0-AddedOffRampEdge,24854660#1,6.952602089268725,168.0,554.0,1171.0,2061.0,3458.0,5112.0,6943.0,8551.0,9927.0,11177.0,14822
