origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths,theta
23118985#0,45326754,13.80323660107529,1.0,3.0,38.0,181.0,514.0,1029.0,1798.0,2754.0,3887.0,5134.0,10001,0.9691892235962105
8154591#0,-117421469#1,1.7492004758215762,63.0,362.0,1441.0,3042.0,4649.0,6026.0,7041.0,7637.0,8018.0,8288.0,9234,0.2163728975685883
59310725#0,-218777681#1,19.232764031133225,1.0,1.0,8.0,113.0,399.0,1024.0,1967.0,3290.0,4811.0,6361.0,10001,0.7679582834052459
1009239804,24233256#0,11.054270713707432,1.0,3.0,20.0,101.0,351.0,895.0,1688.0,2781.0,4051.0,5364.0,10001,0.7718474414006453
263347690#0,-397316553#1,6.8462192059907006,3.0,29.0,152.0,474.0,1160.0,2200.0,3480.0,4849.0,6129.0,7258.0,10001,0.3757706483050253
-267683121#2,219674612#0,10.521312654583202,2.0,37.0,453.0,1566.0,2982.0,4360.0,5603.0,6634.0,7500.0,8222.0,10001,0.8525217025471121
267716685#0,266478003#0,3.031725609489131,321.0,1052.0,2072.0,3221.0,4384.0,5546.0,6621.0,7645.0,8429.0,9032.0,9943,0.4206253161263543
23963458#0,265517063#0,10.10591791543028,1.0,8.0,267.0,1570.0,3977.0,6501.0,8360.0,9276.0,9712.0,9878.0,10001,0.6930970598026743
168773907#0,24492702#0,1.5307351978437584,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.44322830028133625
168773907#0,168553861#0,2.819911490096457,61.0,299.0,850.0,1513.0,2120.0,2619.0,3030.0,3432.0,3910.0,4470.0,9150,0.908788497330896
997690719,168773906#0,2.594869409833146,38.0,171.0,291.0,438.0,742.0,1250.0,1931.0,2692.0,3444.0,4213.0,8262,0.7741236639832356
23429698#0,24359728,4.9490948834826005,5.0,40.0,139.0,348.0,792.0,1502.0,2510.0,3733.0,4999.0,6250.0,10001,0.298855232433508
45326754,270442487#0,3.7575523086734055,194.0,699.0,1434.0,2330.0,3478.0,4796.0,6061.0,7201.0,8118.0,8807.0,9824,0.17412031040507306
264566222,4017878#0,4.321146928468911,50.0,334.0,871.0,1689.0,2640.0,3540.0,4471.0,5333.0,6157.0,6926.0,10001,0.6451423289296878
274977514#0,272654787#0,1.5626892411996238,4.0,8.0,37.0,88.0,160.0,284.0,408.0,522.0,640.0,761.0,1856,0.4085053459211601
-164940304#1,23249319#0,3.2442128021511283,28.0,173.0,479.0,1025.0,1851.0,3051.0,4422.0,5848.0,7063.0,8059.0,10000,0.5064969228551488
-306799128,264566222,3.805454725492675,8.0,52.0,222.0,575.0,1263.0,2431.0,3907.0,5464.0,6892.0,7981.0,10001,0.6741556533754908
37063199#0,286603676#0,1.7929583193017071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.6361251049843488
247982359#1,183217909#0,1.3220970505604777,15.0,77.0,365.0,939.0,1822.0,2738.0,3515.0,4114.0,4525.0,4806.0,5058,0.355865754932632
48957531#0,-93470258#6,5.063675040264836,288.0,1128.0,2594.0,4438.0,6133.0,7546.0,8541.0,9150.0,9509.0,9693.0,9840,0.11482172086858644
273644584#0,264338797#0,3.5740591401625275,65.0,403.0,1008.0,1843.0,2785.0,3764.0,4667.0,5581.0,6498.0,7359.0,9979,0.5499083903199495
231090808#0,-265317023#2,14.31866263626891,1.0,5.0,69.0,348.0,939.0,1841.0,2852.0,3978.0,5024.0,5961.0,10001,0.9209542064432896
202050743,848208117#0,2.9303920945501543,50.0,124.0,248.0,468.0,741.0,1057.0,1409.0,1654.0,1862.0,2003.0,2873,0.13336870975428586
23429698#0,-397316553#1,9.582579956079272,1.0,3.0,25.0,124.0,470.0,1242.0,2460.0,4011.0,5632.0,7056.0,10001,0.8343462205671415
-24599250#1,263676503#0,9.330792083367545,2.0,10.0,78.0,285.0,744.0,1529.0,2560.0,3663.0,4846.0,5972.0,10001,0.5360908122290561
168734385#0,24492702#0,0.4191081714624523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.09416832304102139
-306799128,277216237,4.037387646405544,37.0,298.0,870.0,1820.0,2957.0,4184.0,5336.0,6423.0,7290.0,8058.0,9995,0.6489222735419592
26702701#0,164070452#0,2.79538661873902,237.0,910.0,2203.0,3755.0,5014.0,6013.0,6905.0,7661.0,8187.0,8526.0,9264,0.9927376444642878
277313731#0,173087862#0,5.280859195195209,12.0,96.0,405.0,919.0,1619.0,2381.0,3271.0,4265.0,5239.0,6157.0,10001,0.8771099207677395
53821087#0,-265317023#2,13.321544725416816,1.0,6.0,48.0,219.0,567.0,1069.0,1705.0,2471.0,3339.0,4223.0,10001,0.8265408231682845
-374801261#1,264566222,1.8877759838828747,6.0,132.0,627.0,1627.0,3026.0,4769.0,6343.0,7568.0,8391.0,8954.0,9579,0.2461110304909495
997690719,168773907#0,2.6101372031655115,37.0,143.0,241.0,300.0,399.0,723.0,1179.0,1840.0,2386.0,2868.0,8208,0.8101051651629455
24233256#0,23118985#0,1.0410438311468464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.04109480229511519
22958746,47333234#3,20.68700897466256,1.0,1.0,2.0,55.0,340.0,1063.0,2269.0,3827.0,5411.0,6873.0,10001,0.7015905961999379
23963458#0,-265317023#2,4.0147251633489125,158.0,1292.0,3464.0,5930.0,7662.0,8692.0,9205.0,9444.0,9527.0,9571.0,9612,0.17572479210036487
272654787#0,41773063#0,1.0337683750600062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.3065568914408715
-140425776,-926309945,13.49402322293022,1.0,2.0,48.0,231.0,720.0,1531.0,2619.0,3900.0,5165.0,6414.0,10001,0.9144704088130771
-52045188#2,25941521#3,12.063696731297592,1.0,10.0,130.0,484.0,1106.0,1841.0,2585.0,3296.0,4005.0,4694.0,10001,0.369012116527719
