,origin,destination,euclidean,nb_paths,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths
578,1042246463,252472885#0,12.820606914876018,10001,2.0,34.0,204.0,538.0,835.0,1070.0,1408.0,1463.0,1387.0,1074.0
579,967035155#0,1040612078,7.273638029144824,10001,18.0,86.0,168.0,372.0,604.0,788.0,952.0,859.0,763.0,692.0
580,32760791#4,144391015#1,1.3952559555785329,579,9.0,60.0,50.0,131.0,69.0,112.0,70.0,48.0,27.0,3.0
581,-33806881#7,25224672#0-AddedOffRampEdge,17.893523104938744,10001,1.0,2.0,35.0,152.0,425.0,769.0,1147.0,1408.0,1442.0,1343.0
582,23285547#0,689695310#1,16.939932404277894,10001,1.0,1.0,53.0,363.0,900.0,1424.0,1568.0,1344.0,1169.0,937.0
583,-900439225#0,-240181965#3,16.275267496237728,10001,5.0,51.0,235.0,959.0,1775.0,2031.0,1811.0,1428.0,923.0,501.0
584,-1053273107#1,263965142,4.036274897436391,9817,327.0,670.0,904.0,1075.0,1289.0,1618.0,1348.0,988.0,588.0,372.0
585,-278894968#0,802438416,14.921073017890487,10001,1.0,0.0,0.0,16.0,175.0,585.0,1153.0,1622.0,1674.0,1403.0
586,431896607,-145123632#2,5.106190810257803,9181,31.0,203.0,478.0,818.0,985.0,927.0,684.0,506.0,437.0,480.0
587,259714471#4,-201671812#0,14.942328432575144,10001,1.0,6.0,53.0,301.0,865.0,1672.0,2006.0,1838.0,1413.0,894.0
588,250328448,265859272#0,5.389698312593249,8843,57.0,524.0,1175.0,1478.0,1391.0,1186.0,968.0,761.0,580.0,333.0
589,30336999#0,64312815#1,3.4070840094005974,5858,66.0,258.0,237.0,136.0,148.0,280.0,506.0,659.0,667.0,610.0
590,28264792#0,174287358,3.24165244148592,5175,9.0,73.0,382.0,753.0,834.0,692.0,463.0,341.0,230.0,201.0
