,origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
785,30453877,30642828#0,4.782393637966409,83.0,632.0,1346.0,1756.0,1731.0,1550.0,1211.0,920.0,706.0,493.0,11000
786,29189452#0,-42797971#1,6.003756574241305,270.0,1628.0,2595.0,2756.0,2249.0,1791.0,1369.0,835.0,518.0,285.0,14602
787,582373791#0,288510375,2.206182059761503,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
788,25026462#3,-22930131,9.302549120845002,4.0,157.0,632.0,1278.0,1717.0,2243.0,2213.0,1993.0,1543.0,1178.0,15001
789,-168436709,348439788#0,4.149555565755347,493.0,594.0,1228.0,1256.0,552.0,592.0,538.0,256.0,188.0,30.0,5747
790,25314977,27623939#0,4.475047952544559,541.0,1269.0,1856.0,2376.0,2207.0,1665.0,1385.0,750.0,353.0,155.0,12683
791,42679013#0,-48272625#2,1.6946922842564742,4.0,31.0,125.0,378.0,809.0,1037.0,819.0,405.0,140.0,22.0,3776
792,420074401#0,31960439,1.395258172742989,3.0,3.0,6.0,22.0,49.0,68.0,68.0,45.0,34.0,34.0,387
793,29189372#0,25196030#0,2.2461866037779377,9.0,12.0,10.0,17.0,20.0,44.0,58.0,133.0,225.0,289.0,3615
794,-25314493#2,413041610#0,1.2998875140457051,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
795,29189452#1,29072306#0,4.351808924400225,849.0,3087.0,2865.0,1699.0,742.0,302.0,99.0,26.0,6.0,1.0,9676
796,162228185,-471302983#4,1.884182889304017,6.0,7.0,12.0,20.0,36.0,72.0,117.0,169.0,203.0,251.0,1895
797,128984786#0,-964072145,2.1780529005517546,117.0,226.0,488.0,865.0,1007.0,1039.0,1074.0,842.0,667.0,437.0,7537
798,190735673#0,-280810028#1,1.6577348941160066,4.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,11
799,160047381#0,-8253164#1,2.080867140032748,28.0,84.0,113.0,128.0,262.0,727.0,293.0,139.0,15.0,6.0,1795
800,915390667,-42246096,6.082809012772789,41.0,604.0,1616.0,2255.0,2622.0,2676.0,2013.0,1444.0,847.0,485.0,14992
801,25314977,27623929#2-AddedOnRampEdge,4.479398835601529,0.0,0.0,1.0,86.0,232.0,359.0,765.0,1383.0,1282.0,859.0,5452
802,30453877,-27588412#2,4.73960443176191,139.0,928.0,1666.0,2019.0,2123.0,1660.0,1132.0,807.0,519.0,343.0,11631
803,-132472091#1,27647149#4,3.4576573494065874,232.0,1176.0,2347.0,2869.0,2474.0,2022.0,1457.0,908.0,453.0,226.0,14379
804,1123718183,411451801#3,3.766941301092056,244.0,1204.0,1828.0,1989.0,1685.0,1377.0,1007.0,588.0,336.0,103.0,10403
805,-28170096#1,235605364#0,1.2442046852942503,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
806,319752146#2,162228161,2.1705061952928104,22.0,37.0,95.0,146.0,241.0,388.0,579.0,644.0,711.0,594.0,5694
807,202760039#2,27204444,2.015521091867352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
808,-411451801#1,-24304997,3.491785987688649,468.0,1892.0,2936.0,2824.0,2159.0,1488.0,847.0,450.0,257.0,104.0,13473
809,-43025092#1,-25196930#2,1.925378050570955,163.0,844.0,1819.0,2063.0,1945.0,1782.0,1454.0,923.0,521.0,281.0,11989
810,267258080,1081066600#6,5.0378361117396215,128.0,501.0,979.0,1229.0,1340.0,1366.0,1792.0,1909.0,1985.0,1496.0,14596
811,23005119,-190735673#3,2.178918277590615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
812,319752146#3,1081066600#6,1.4816875329503771,6.0,10.0,9.0,18.0,10.0,15.0,23.0,41.0,48.0,45.0,608
813,638029791,159918160#2,2.688035250783206,279.0,1217.0,2285.0,2936.0,2739.0,1923.0,1156.0,650.0,293.0,127.0,13674
814,29189372#0,29072306#0,4.176464108455678,625.0,2517.0,2735.0,2050.0,1240.0,543.0,156.0,43.0,16.0,9.0,9936
